+-----------+------------------------------+-----------------+-------------+-------------------------------------------------------+
| career_id | career_name                  | roadmap_step_id | step_number | step_name                                             |
|         9 | Data Scientist               |              62 |           6 | Learn Data Visualization                              |
|         9 | Data Scientist               |              63 |           7 | Apply for Data Scientist Roles                        |
|        10 | Data Analyst                 |              64 |           1 | Learn Excel & SQL                                     |
|        10 | Data Analyst                 |              65 |           2 | Learn Statistics                                      |
|        10 | Data Analyst                 |              66 |           3 | Master Python for Data Analysis                       |
|        10 | Data Analyst                 |              67 |           4 | Learn Power BI & Tableau                              |
|        10 | Data Analyst                 |              68 |           5 | Build Data Analysis Projects                          |
|        10 | Data Analyst                 |              69 |           6 | Create a Data Portfolio                               |
|        10 | Data Analyst                 |              70 |           7 | Apply for Data Analyst Roles                          |
|        11 | Data Engineer                |              71 |           1 | Learn SQL & Database Fundamentals                     |
|        11 | Data Engineer                |              72 |           2 | Master Python Programming                             |
|        11 | Data Engineer                |              73 |           3 | Learn ETL & Data Warehousing                          |
|        11 | Data Engineer                |              74 |           4 | Master Big Data Technologies                          |
|        11 | Data Engineer                |              75 |           5 | Learn Cloud Platforms                                 |
|        11 | Data Engineer                |              76 |           6 | Build End-to-End Data Pipelines                       |
|        11 | Data Engineer                |              77 |           7 | Apply for Data Engineer Roles                         |
|        12 | Cyber Security Analyst       |              78 |           1 | Learn Networking & Operating Systems                  |
|        12 | Cyber Security Analyst       |              79 |           2 | Master Cyber Security Fundamentals                    |
|        12 | Cyber Security Analyst       |              80 |           3 | Learn Linux & Security Tools                          |
|        12 | Cyber Security Analyst       |              81 |           4 | Study SIEM & Threat Detection                         |
|        12 | Cyber Security Analyst       |              82 |           5 | Practice Incident Response                            |
|        12 | Cyber Security Analyst       |              83 |           6 | Build Hands-on Security Labs                          |
|        12 | Cyber Security Analyst       |              84 |           7 | Earn Certifications & Apply for Jobs                  |
|        13 | Penetration Tester           |              85 |           1 | Learn Networking & Linux                              |
|        13 | Penetration Tester           |              86 |           2 | Master Cyber Security Fundamentals                    |
|        13 | Penetration Tester           |              87 |           3 | Learn Web & Network Security                          |
|        13 | Penetration Tester           |              88 |           4 | Practice Penetration Testing Tools                    |
|        13 | Penetration Tester           |              89 |           5 | Complete Hands-on Security Labs                       |
|        13 | Penetration Tester           |              90 |           6 | Earn Ethical Hacking Certifications                   |
|        13 | Penetration Tester           |              91 |           7 | Apply for Penetration Tester Roles                    |
|        14 | Security Engineer            |              92 |           1 | Learn Networking & Linux                              |
|        14 | Security Engineer            |              93 |           2 | Master Security Fundamentals                          |
|        14 | Security Engineer            |              94 |           3 | Learn System & Cloud Security                         |
|        14 | Security Engineer            |              95 |           4 | Practice Security Engineering Tools                   |
|        14 | Security Engineer            |              96 |           5 | Study IAM & Security Frameworks                       |
|        14 | Security Engineer            |              97 |           6 | Build Security Projects                               |
|        14 | Security Engineer            |              98 |           7 | Earn Certifications & Apply for Jobs                  |
|        15 | Cloud Engineer               |              99 |           1 | Learn Linux & Networking                              |
|        15 | Cloud Engineer               |             100 |           2 | Master One Cloud Platform                             |
|        15 | Cloud Engineer               |             101 |           3 | Learn Cloud Storage & Networking                      |
|        15 | Cloud Engineer               |             102 |           4 | Master Docker & Kubernetes                            |
|        15 | Cloud Engineer               |             103 |           5 | Learn Infrastructure as Code                          |
|        15 | Cloud Engineer               |             104 |           6 | Build Cloud Deployment Projects                       |
|        15 | Cloud Engineer               |             105 |           7 | Earn Certifications & Apply for Jobs                  |
|        16 | Cloud Architect              |             106 |           1 | Master Linux & Networking                             |
|        16 | Cloud Architect              |             107 |           2 | Learn One Major Cloud Platform                        |
|        16 | Cloud Architect              |             108 |           3 | Understand Cloud Architecture Patterns                |
|        16 | Cloud Architect              |             109 |           4 | Learn Docker & Kubernetes                             |
|        16 | Cloud Architect              |             110 |           5 | Master Infrastructure as Code                         |
|        16 | Cloud Architect              |             111 |           6 | Design Real Cloud Solutions                           |
|        16 | Cloud Architect              |             112 |           7 | Earn Cloud Certifications & Apply                     |
|        17 | Site Reliability Engineer    |             113 |           1 | Learn Linux & Networking                              |
|        17 | Site Reliability Engineer    |             114 |           2 | Master Cloud Computing Basics                         |
|        17 | Site Reliability Engineer    |             115 |           3 | Learn Docker & Kubernetes                             |
|        17 | Site Reliability Engineer    |             116 |           4 | Study Infrastructure Automation                       |
|        17 | Site Reliability Engineer    |             117 |           5 | Master Monitoring & Incident Management               |
|        17 | Site Reliability Engineer    |             118 |           6 | Build Scalable Production Projects                    |
|        17 | Site Reliability Engineer    |             119 |           7 | Earn Certifications & Apply for SRE Roles             |
|        18 | UI Designer                  |             120 |           1 | Learn UI Design Fundamentals                          |
|        18 | UI Designer                  |             121 |           2 | Master Figma                                          |
|        18 | UI Designer                  |             122 |           3 | Learn Color Theory & Typography                       |
|        18 | UI Designer                  |             123 |           4 | Create Wireframes & Prototypes                        |
|        18 | UI Designer                  |             124 |           5 | Learn Design Systems & Accessibility                  |
|        18 | UI Designer                  |             125 |           6 | Build a Strong UI Portfolio                           |
|        18 | UI Designer                  |             126 |           7 | Apply for UI Designer Roles                           |
|        19 | UX Designer                  |             127 |           1 | Learn UX Design Fundamentals                          |
|        19 | UX Designer                  |             128 |           2 | Study User Research Methods                           |
|        19 | UX Designer                  |             129 |           3 | Learn Information Architecture & User Flows           |
|        19 | UX Designer                  |             130 |           4 | Master Figma & Prototyping                            |
|        19 | UX Designer                  |             131 |           5 | Conduct Usability Testing                             |
|        19 | UX Designer                  |             132 |           6 | Build UX Case Studies & Portfolio                     |
|        19 | UX Designer                  |             133 |           7 | Apply for UX Designer Roles                           |
|        20 | UI/UX Designer               |             134 |           1 | Learn UI & UX Design Fundamentals                     |
|        20 | UI/UX Designer               |             135 |           2 | Master Figma & Design Tools                           |
|        20 | UI/UX Designer               |             136 |           3 | Learn User Research & Information Architecture        |
|        20 | UI/UX Designer               |             137 |           4 | Create Wireframes & Interactive Prototypes            |
|        20 | UI/UX Designer               |             138 |           5 | Learn Design Systems & Accessibility                  |
|        20 | UI/UX Designer               |             139 |           6 | Build Real-World Case Studies & Portfolio             |
|        20 | UI/UX Designer               |             140 |           7 | Apply for UI/UX Designer Roles                        |
|        21 | Product Manager              |             141 |           1 | Learn Product Management Fundamentals                 |
|        21 | Product Manager              |             142 |           2 | Understand User Research & Market Analysis            |
|        21 | Product Manager              |             143 |           3 | Learn Agile & Scrum Methodologies                     |
|        21 | Product Manager              |             144 |           4 | Master Product Roadmapping & Prioritization           |
|        21 | Product Manager              |             145 |           5 | Learn Product Analytics & Metrics                     |
|        21 | Product Manager              |             146 |           6 | Build Product Case Studies & Projects                 |
|        21 | Product Manager              |             147 |           7 | Earn Certifications & Apply for Product Manager Roles |
|        22 | Business Analyst             |             148 |           1 | Learn Business Analysis Fundamentals                  |
|        22 | Business Analyst             |             149 |           2 | Master Excel & SQL                                    |
|        22 | Business Analyst             |             150 |           3 | Learn Requirement Gathering & Documentation           |
|        22 | Business Analyst             |             151 |           4 | Study Agile & Scrum                                   |
|        22 | Business Analyst             |             152 |           5 | Learn Power BI & Data Visualization                   |
|        22 | Business Analyst             |             153 |           6 | Build Real Business Case Studies                      |
|        22 | Business Analyst             |             154 |           7 | Earn Certifications & Apply for Jobs                  |
|        23 | Digital Marketing Specialist |             155 |           1 | Learn Digital Marketing Fundamentals                  |
|        23 | Digital Marketing Specialist |             156 |           2 | Master SEO & SEM                                      |
|        23 | Digital Marketing Specialist |             157 |           3 | Learn Social Media & Content Marketing                |
|        23 | Digital Marketing Specialist |             158 |           4 | Master Google Analytics & Google Ads                  |
|        23 | Digital Marketing Specialist |             159 |           5 | Learn Email Marketing & Automation                    |
|        23 | Digital Marketing Specialist |             160 |           6 | Build Real Marketing Campaigns & Portfolio            |
|        23 | Digital Marketing Specialist |             161 |           7 | Earn Certifications & Apply for Jobs                  |
|        24 | Project Manager              |             162 |           1 | Learn Project Management Fundamentals                 |
|        24 | Project Manager              |             163 |           2 | Understand Agile, Scrum & Waterfall Methodologies     |
|        24 | Project Manager              |             164 |           3 | Learn Project Planning & Scheduling                   |
|        24 | Project Manager              |             165 |           4 | Master Risk, Budget & Resource Management             |
|        24 | Project Manager              |             166 |           5 | Learn Project Management Tools                        |
|        24 | Project Manager              |             167 |           6 | Manage Real or Simulated Projects                     |
|        24 | Project Manager              |             168 |           7 | Earn Certifications & Apply for Project Manager Roles |
+-----------+------------------------------+-----------------+-------------+-------------------------------------------------------+


+-----+----------------------------------------------------------------------------+---------------+-----------------------------------+------------------------------------------------------------------------------------------------------------------+
| id  | name                                                                       | type          | logo                              | url                                                                                                              |
+-----+----------------------------------------------------------------------------+---------------+-----------------------------------+------------------------------------------------------------------------------------------------------------------+
|   1 | MDN Web Docs                                                               | Documentation | assets/logos/mdn.png              | https://developer.mozilla.org/                                                                                   |
|   2 | freeCodeCamp                                                               | Course        | assets/logos/free-code-camp.png   | https://www.freecodecamp.org/                                                                                    |
|   3 | Frontend Mentor                                                            | Practice      | assets/logos/frontend-mentor.png  | https://www.frontendmentor.io/                                                                                   |
|   4 | JavaScript.info                                                            | Documentation | assets/logos/javascript-info.png  | https://javascript.info/                                                                                         |
|   5 | Node.js Documentation                                                      | Documentation | assets/logos/node-doc.png         | https://nodejs.org/docs/latest/api/                                                                              |
|   6 | Express.js                                                                 | Documentation | assets/logos/express-doc.png      | https://expressjs.com/                                                                                           |
|   7 | MongoDB Docs                                                               | Documentation | assets/logos/mongo-db.png         | https://www.mongodb.com/docs/                                                                                    |
|   8 | Postman Learning Center                                                    | API Testing   | assets/logos/postman.png          | https://learning.postman.com/                                                                                    |
|   9 | MySQL Documentation                                                        | Documentation | assets/logos/mysql.png            | https://dev.mysql.com/doc/                                                                                       |
|  10 | The Odin Project                                                           | Course        | assets/logos/the-odin-project.png | https://www.theodinproject.com/                                                                                  |
|  11 | Full Stack Open                                                            | Course        | assets/logos/full-stack-open.png  | https://fullstackopen.com/en/                                                                                    |
|  20 | GeeksforGeeks                                                              | Learning      | assets/logos/gfg.png              | https://www.geeksforgeeks.org/                                                                                   |
|  21 | LeetCode                                                                   | Practice      | assets/logos/leetcode.png         | https://leetcode.com/                                                                                            |
|  22 | Roadmap.sh                                                                 | Roadmap       | assets/logos/roadmap.png          | https://roadmap.sh/software-engineer                                                                             |
|  23 | Android Developers                                                         | Documentation | assets/logos/android.png          | https://developer.android.com/docs                                                                               |
|  24 | Flutter Documentation                                                      | Documentation | assets/logos/flutter.png          | https://docs.flutter.dev/                                                                                        |
|  25 | React Native Documentation                                                 | Documentation | assets/logos/react-native.png     | https://reactnative.dev/docs/getting-started                                                                     |
|  26 | Apple Developer                                                            | Documentation | assets/logos/apple.png            | https://developer.apple.com/documentation/                                                                       |
|  27 | AWS Skill Builder                                                          | Course        | assets/logos/aws.png              | https://skillbuilder.aws/                                                                                        |
|  28 | Docker Documentation                                                       | Documentation | assets/logos/docker.png           | https://docs.docker.com/                                                                                         |
|  29 | Kubernetes Documentation                                                   | Documentation | assets/logos/kubernetes.png       | https://kubernetes.io/docs/                                                                                      |
|  30 | Roadmap.sh DevOps                                                          | Roadmap       | assets/logos/roadmap.png          | https://roadmap.sh/devops                                                                                        |
|  31 | DeepLearning.AI                                                            | Course        | assets/logos/deeplearning-ai.png  | https://www.deeplearning.ai/                                                                                     |
|  32 | TensorFlow Documentation                                                   | Documentation | assets/logos/tensorflow.png       | https://www.tensorflow.org/learn                                                                                 |
|  33 | PyTorch Documentation                                                      | Documentation | assets/logos/pytorch.png          | https://pytorch.org/tutorials/                                                                                   |
|  34 | Kaggle                                                                     | Practice      | assets/logos/kaggle.png           | https://www.kaggle.com/                                                                                          |
|  35 | Scikit-learn Documentation                                                 | Documentation | assets/logos/scikit-learn.png     | https://scikit-learn.org/stable/user_guide.html                                                                  |
|  36 | Coursera Machine Learning                                                  | Course        | assets/logos/coursera.png         | https://www.coursera.org/learn/machine-learning                                                                  |
|  37 | Pandas Documentation                                                       | Documentation | assets/logos/pandas.png           | https://pandas.pydata.org/docs/                                                                                  |
|  38 | DataCamp                                                                   | Course        | assets/logos/datacamp.png         | https://www.datacamp.com/                                                                                        |
|  39 | Coursera Data Science                                                      | Course        | assets/logos/coursera.png         | https://www.coursera.org/browse/data-science                                                                     |
|  40 | Microsoft Learn                                                            | Course        | assets/logos/microsoft.png        | https://learn.microsoft.com                                                                                      |
|  43 | Tableau Learning                                                           | Documentation | assets/logos/tableau.png          | https://www.tableau.com/learn                                                                                    |
|  44 | Apache Spark Documentation                                                 | Documentation | assets/logos/apache-spark.png     | https://spark.apache.org/docs/latest/                                                                            |
|  45 | Apache Airflow Documentation                                               | Documentation | assets/logos/apache-airflow.png   | https://airflow.apache.org/docs/                                                                                 |
|  47 | Data Engineering Zoomcamp                                                  | Course        | assets/logos/data-engineering.png | https://github.com/DataTalksClub/data-engineering-zoomcamp                                                       |
|  48 | TryHackMe                                                                  | Practice      | assets/logos/tryhackme.png        | https://tryhackme.com                                                                                            |
|  49 | Hack The Box                                                               | Practice      | assets/logos/hackthebox.png       | https://www.hackthebox.com                                                                                       |
|  50 | OWASP                                                                      | Documentation | assets/logos/owasp.png            | https://owasp.org                                                                                                |
|  51 | Microsoft Learn Security                                                   | Course        | assets/logos/microsoft.png        | https://learn.microsoft.com/security                                                                             |
|  52 | PortSwigger Web Security Academy                                           | Course        | assets/logos/portswigger.png      | https://portswigger.net/web-security                                                                             |
|  53 | AWS Security Documentation                                                 | Documentation | assets/logos/aws.png              | https://docs.aws.amazon.com/security/                                                                            |
|  54 | Cisco Networking Academy                                                   | Course        | assets/logos/cisco.png            | https://www.netacad.com                                                                                          |
|  55 | Microsoft Learn Azure                                                      | Course        | assets/logos/azure.png            | https://learn.microsoft.com/azure                                                                                |
|  56 | Google Cloud Skills Boost                                                  | Course        | assets/logos/gcp.png              | https://www.cloudskillsboost.google                                                                              |
|  57 | Terraform Documentation                                                    | Documentation | assets/logos/terraform.png        | https://developer.hashicorp.com/terraform/docs                                                                   |
|  58 | AWS Architecture Center                                                    | Documentation | assets/logos/aws.png              | https://aws.amazon.com/architecture/                                                                             |
|  59 | Google SRE Book                                                            | Book          | assets/logos/google.png           | https://sre.google/books/                                                                                        |
|  60 | Prometheus Documentation                                                   | Documentation | assets/logos/prometheus.png       | https://prometheus.io/docs/                                                                                      |
|  61 | Linux Journey                                                              | Course        | assets/logos/linux.png            | https://linuxjourney.com/                                                                                        |
|  62 | Figma Learn                                                                | Course        | assets/logos/figma.png            | https://help.figma.com/                                                                                          |
|  63 | Material Design                                                            | Documentation | assets/logos/material-design.png  | https://m3.material.io/                                                                                          |
|  64 | Interaction Design Foundation                                              | Course        | assets/logos/idf.png              | https://www.interaction-design.org/                                                                              |
|  65 | Google UX Design                                                           | Course        | assets/logos/google.png           | https://www.coursera.org/professional-certificates/google-ux-design                                              |
|  66 | Nielsen Norman Group                                                       | Course        | assets/logos/nng.png              | https://www.nngroup.com/                                                                                         |
|  67 | Google UX Design Professional Certificate                                  | Course        | assets/logos/google.png           | https://www.coursera.org/professional-certificates/google-ux-design                                              |
|  71 | Atlassian Product Management Guide                                         | Documentation | assets/logos/atlassian.png        | https://www.atlassian.com/agile/product-management                                                               |
|  72 | Google Project Management                                                  | Course        | assets/logos/google.png           | https://www.coursera.org/professional-certificates/google-project-management                                     |
|  73 | Product School                                                             | Course        | assets/logos/product-school.png   | https://productschool.com                                                                                        |
|  74 | Mind the Product                                                           | Course        | assets/logos/mind-the-product.png | https://www.mindtheproduct.com                                                                                   |
|  75 | IIBA BABOK Guide                                                           | Documentation | assets/logos/iiba.png             | https://www.iiba.org/business-analysis-standards-and-publications/business-analysis-body-of-knowledge-babok/     |
|  76 | Microsoft Learn Power BI                                                   | Course        | assets/logos/powerbi.png          | https://learn.microsoft.com/power-bi/                                                                            |
|  77 | Google Data Analytics Professional Certificate                             | Course        | assets/logos/google.png           | https://www.coursera.org/professional-certificates/google-data-analytics                                         |
|  78 | Atlassian Agile Guide                                                      | Documentation | assets/logos/atlassian.png        | https://www.atlassian.com/agile                                                                                  |
|  79 | Google Skillshop                                                           | Course        | assets/logos/google.png           | https://skillshop.withgoogle.com/                                                                                |
|  80 | HubSpot Academy                                                            | Course        | assets/logos/hubspot.png          | https://academy.hubspot.com/                                                                                     |
|  81 | Google Analytics Academy                                                   | Course        | assets/logos/google-analytics.png | https://analytics.google.com/analytics/academy/                                                                  |
|  82 | Meta Blueprint                                                             | Course        | assets/logos/meta.png             | https://www.facebook.com/business/learn                                                                          |
|  83 | Project Management Institute (PMI)                                         | Documentation | assets/logos/pmi.png              | https://www.pmi.org                                                                                              |
|  84 | Google Project Management Professional Certificate                         | Course        | assets/logos/google.png           | https://www.coursera.org/professional-certificates/google-project-management                                     |
|  85 | Atlassian Agile Coach                                                      | Documentation | assets/logos/atlassian.png        | https://www.atlassian.com/agile                                                                                  |
|  86 | Scrum.org Learning                                                         | Documentation | assets/logos/scrum.png            | https://www.scrum.org/resources                                                                                  |
|  87 | React Documentation                                                        | Documentation | NULL                              | https://react.dev/                                                                                               |
|  88 | Flask Documentation                                                        | Documentation | NULL                              | https://flask.palletsprojects.com/                                                                               |
|  89 | Python Documentation                                                       | Documentation | NULL                              | https://docs.python.org/3/                                                                                       |
|  90 | Git Documentation                                                          | Documentation | NULL                              | https://git-scm.com/doc                                                                                          |
|  91 | GitHub Documentation                                                       | Documentation | NULL                              | https://docs.github.com/                                                                                         |
|  92 | npm Documentation                                                          | Documentation | NULL                              | https://docs.npmjs.com/                                                                                          |
|  93 | Vite Documentation                                                         | Documentation | NULL                              | https://vite.dev/guide/                                                                                          |
|  94 | Vercel Documentation                                                       | Documentation | NULL                              | https://vercel.com/docs                                                                                          |
|  95 | Render Documentation                                                       | Documentation | NULL                              | https://render.com/docs                                                                                          |
|  96 | HTML Crash Course - Traversy Media                                         | Video         | NULL                              | https://www.youtube.com/watch?v=UB1O30fR-EE                                                                      |
|  97 | CSS Crash Course - Traversy Media                                          | Video         | NULL                              | https://www.youtube.com/watch?v=yfoY53QXEnI                                                                      |
|  98 | Modern JavaScript Course                                                   | Video         | NULL                              | https://www.youtube.com/watch?v=a-wVHL0lpb0                                                                      |
|  99 | React Tutorial                                                             | Video         | NULL                              | https://www.youtube.com/watch?v=3LRZRSIh_KE                                                                      |
| 100 | Python Flask Backend Development Tutorial                                  | Video         | NULL                              | https://www.youtube.com/watch?v=QZfaRHzWM0k                                                                      |
| 101 | Node.js Crash Course - Traversy Media                                      | Video         | NULL                              | https://www.youtube.com/@TraversyMedia/search?query=Node.js                                                      |
| 102 | MySQL Database Tutorial                                                    | Video         | NULL                              | https://www.youtube.com/watch?v=hlGoQC332VM                                                                      |
| 103 | MongoDB Tutorial                                                           | Video         | NULL                              | https://www.youtube.com/watch?v=M1dKYQ7GsTg                                                                      |
| 104 | Git and GitHub Tutorial - freeCodeCamp                                     | Video         | NULL                              | https://www.youtube.com/@freecodecamp/search?query=Git%20GitHub                                                  |
| 105 | Docker Tutorial - freeCodeCamp                                             | Video         | NULL                              | https://www.youtube.com/@freecodecamp/search?query=Docker                                                        |
| 106 | REST API Tutorial                                                          | Video         | NULL                              | https://www.youtube.com/watch?v=XvFmUE-36Kc                                                                      |
| 107 | GitHub Portfolio Projects - Traversy Media                                 | Video         | NULL                              | https://www.youtube.com/@TraversyMedia/search?query=Portfolio                                                    |
| 108 | npm and Vite Tutorial - Traversy Media                                     | Video         | NULL                              | https://www.youtube.com/@TraversyMedia/search?query=npm%20Vite                                                   |
| 109 | Browser Developer Tools Tutorial - freeCodeCamp                            | Video         | NULL                              | https://www.youtube.com/@freecodecamp/search?query=Chrome%20DevTools                                             |
| 110 | Frontend Interview Preparation - Traversy Media                            | Video         | NULL                              | https://www.youtube.com/@TraversyMedia/search?query=Frontend%20Interview                                         |
| 111 | Java Documentation                                                         | Documentation | NULL                              | https://docs.oracle.com/en/java/                                                                                 |
| 112 | Java Full Course - freeCodeCamp                                            | Video         | NULL                              | https://www.youtube.com/watch?v=xk4_1vDrzzo                                                                      |
| 113 | LinkedIn Help Center                                                       | Documentation | NULL                              | https://www.linkedin.com/help/linkedin                                                                           |
| 114 | How to Write a Software Engineer Resume - freeCodeCamp                     | Video         | NULL                              | https://www.youtube.com/@freecodecamp/search?query=software%20engineer%20resume                                  |
| 115 | Full Stack Project Tutorial                                                | Video         | NULL                              | https://www.youtube.com/watch?v=zG3hNL08Dro                                                                      |
| 116 | Full Stack Application Deployment Tutorial                                 | Video         | NULL                              | https://www.youtube.com/watch?v=wGjyuDvvRx4                                                                      |
| 117 | Data Structures & Algorithms Course                                        | Video         | NULL                              | https://www.youtube.com/watch?v=f9Aje_cN_CY                                                                      |
| 118 | Object-Oriented Programming Course                                         | Video         | NULL                              | https://www.youtube.com/watch?v=Mf2RdpEiXjU                                                                      |
| 119 | Building Software Projects                                                 | Video         | NULL                              | https://www.youtube.com/watch?v=14RP8liACqo                                                                      |
| 120 | System Design Fundamentals                                                 | Video         | NULL                              | https://www.youtube.com/watch?v=Vnm-ycSfJx4                                                                      |
| 121 | System Design Explained                                                    | Video         | NULL                              | https://www.youtube.com/watch?v=oYxTTirKY8M                                                                      |
| 122 | Software Engineering Interview Preparation                                 | Video         | NULL                              | https://www.youtube.com/watch?v=Tc_MJZ8XYYc                                                                      |
| 123 | Top 6 Coding Interview Concepts - NeetCode                                 | Video         | NULL                              | https://www.youtube.com/watch?v=ft0owvS5tQA                                                                      |
| 124 | Python Programming Fundamentals - freeCodeCamp                             | Video         | NULL                              | https://www.youtube.com/watch?v=rfscVS0vtbw                                                                      |
| 125 | Mobile Development Fundamentals                                            | Video         | NULL                              | https://www.youtube.com/watch?v=NMOdEHyMXBo                                                                      |
| 126 | Android & iOS Development Fundamentals                                     | Video         | NULL                              | https://www.youtube.com/watch?v=-VC3hIEL7eQ                                                                      |
| 127 | Flutter Fundamentals                                                       | Video         | NULL                              | https://www.youtube.com/watch?v=92h2XcvZ-vM                                                                      |
| 128 | React Native Fundamentals                                                  | Video         | NULL                              | https://www.youtube.com/watch?v=JKccS9k56_I                                                                      |
| 129 | Firebase Fundamentals                                                      | Video         | NULL                              | https://www.youtube.com/watch?v=CD7kaC8OALM                                                                      |
| 130 | Mobile App Development Project                                             | Video         | NULL                              | https://www.youtube.com/watch?v=LIwwHOMKN0o                                                                      |
| 131 | Real World Mobile App Project                                              | Video         | NULL                              | https://www.youtube.com/watch?v=Q7AYc2kECDI                                                                      |
| 132 | Android App Deployment & Play Store Publishing                             | Video         | NULL                              | https://www.youtube.com/watch?v=WOKrelHPefc                                                                      |
| 133 | iOS App Deployment & App Store Publishing                                  | Video         | NULL                              | https://www.youtube.com/watch?v=_P-bJW-4TmY                                                                      |
| 134 | Firebase Documentation                                                     | Documentation | NULL                              | https://firebase.google.com/docs                                                                                 |
| 135 | GitHub Actions Documentation                                               | Documentation | NULL                              | https://docs.github.com/en/actions                                                                               |
| 136 | FastAPI Documentation                                                      | Documentation | NULL                              | https://fastapi.tiangolo.com/                                                                                    |
| 137 | Hugging Face Documentation                                                 | Documentation | NULL                              | https://huggingface.co/docs                                                                                      |
